random	SNP_n	Enh_n
encode_rsid738.tsv	230	230
encode_rsid739.tsv	255	255
encode_rsid740.tsv	236	235
encode_rsid741.tsv	262	262
encode_rsid742.tsv	251	251
encode_rsid743.tsv	249	249
encode_rsid744.tsv	296	295
encode_rsid745.tsv	254	254
encode_rsid746.tsv	252	251
encode_rsid747.tsv	250	250
encode_rsid748.tsv	238	238
encode_rsid749.tsv	245	245
encode_rsid750.tsv	258	257
encode_rsid751.tsv	231	231
encode_rsid752.tsv	239	238
encode_rsid753.tsv	236	236
encode_rsid754.tsv	230	230
encode_rsid755.tsv	245	245
encode_rsid756.tsv	268	268
encode_rsid757.tsv	245	245
encode_rsid758.tsv	221	221
encode_rsid759.tsv	265	265
encode_rsid760.tsv	238	238
encode_rsid761.tsv	247	247
encode_rsid762.tsv	251	251
encode_rsid763.tsv	230	230
encode_rsid764.tsv	249	249
encode_rsid765.tsv	273	273
encode_rsid766.tsv	263	263
encode_rsid767.tsv	251	251
encode_rsid768.tsv	229	229
encode_rsid769.tsv	244	244
encode_rsid770.tsv	237	236
encode_rsid771.tsv	274	274
encode_rsid772.tsv	238	238
encode_rsid773.tsv	278	278
encode_rsid774.tsv	259	259
encode_rsid775.tsv	235	235
encode_rsid776.tsv	249	249
encode_rsid777.tsv	242	242
encode_rsid778.tsv	215	215
encode_rsid779.tsv	270	270
encode_rsid780.tsv	244	244
encode_rsid781.tsv	265	265
encode_rsid782.tsv	234	234
encode_rsid783.tsv	239	239
encode_rsid784.tsv	252	252
encode_rsid785.tsv	236	236
encode_rsid786.tsv	242	242
encode_rsid787.tsv	258	258
encode_rsid788.tsv	249	249
encode_rsid789.tsv	266	266
encode_rsid790.tsv	254	254
encode_rsid791.tsv	247	247
encode_rsid792.tsv	249	249
encode_rsid793.tsv	249	249
encode_rsid794.tsv	254	254
encode_rsid795.tsv	280	280
encode_rsid796.tsv	242	242
encode_rsid797.tsv	281	281
encode_rsid798.tsv	263	263
encode_rsid799.tsv	249	249
encode_rsid800.tsv	251	251
encode_rsid801.tsv	273	273
encode_rsid802.tsv	249	249
encode_rsid803.tsv	275	275
encode_rsid804.tsv	259	259
encode_rsid805.tsv	226	226
encode_rsid806.tsv	269	269
encode_rsid807.tsv	254	254
encode_rsid808.tsv	261	261
encode_rsid809.tsv	282	282
encode_rsid810.tsv	253	253
encode_rsid811.tsv	224	224
encode_rsid812.tsv	250	249
encode_rsid813.tsv	243	243
encode_rsid814.tsv	232	232
encode_rsid815.tsv	242	242
encode_rsid816.tsv	233	233
encode_rsid817.tsv	251	251
encode_rsid818.tsv	224	224
encode_rsid819.tsv	245	245
encode_rsid820.tsv	247	247
encode_rsid821.tsv	250	250
encode_rsid822.tsv	260	260
encode_rsid823.tsv	250	249
encode_rsid824.tsv	246	246
encode_rsid825.tsv	255	255
encode_rsid826.tsv	272	272
encode_rsid827.tsv	234	234
encode_rsid828.tsv	249	249
encode_rsid829.tsv	234	234
encode_rsid830.tsv	224	224
encode_rsid831.tsv	251	251
encode_rsid832.tsv	235	235
encode_rsid833.tsv	252	252
encode_rsid834.tsv	250	250
encode_rsid835.tsv	237	237
encode_rsid836.tsv	253	253
encode_rsid837.tsv	214	213
encode_rsid838.tsv	258	258
encode_rsid839.tsv	237	237
encode_rsid840.tsv	261	261
encode_rsid841.tsv	264	264
encode_rsid842.tsv	225	225
encode_rsid843.tsv	230	229
encode_rsid844.tsv	265	265
encode_rsid845.tsv	240	240
encode_rsid846.tsv	243	243
encode_rsid847.tsv	245	245
encode_rsid848.tsv	251	251
encode_rsid849.tsv	239	239
encode_rsid850.tsv	236	236
encode_rsid851.tsv	236	236
encode_rsid852.tsv	258	258
encode_rsid853.tsv	251	251
encode_rsid854.tsv	273	273
encode_rsid855.tsv	226	226
encode_rsid856.tsv	247	247
encode_rsid857.tsv	246	246
encode_rsid858.tsv	230	230
encode_rsid859.tsv	258	258
encode_rsid860.tsv	250	250
encode_rsid861.tsv	246	246
